Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;Is_subvariant_of;Sample_size;Variant_cases
4;2022-08-30 00:33:11;2021-03-22;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.2+S:L452X;Omicron;VOI;;BA.2;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1601;0
4;2022-08-30 00:33:11;2021-03-22;BA.3;Omicron;VUM;;B.1.1.529;1601;0
4;2022-08-30 00:33:11;2021-03-22;B.1.617.2;Delta;DEV;;;1601;0
4;2022-08-30 00:33:11;2021-03-22;B.1.351;Beta;DEV;;;1601;39
4;2022-08-30 00:33:11;2021-03-22;P.1;Gamma;DEV;;;1601;23
4;2022-08-30 00:33:11;2021-03-22;B.1.1.7;Alpha;DEV;;;1601;1495
4;2022-08-30 00:33:11;2021-03-22;B.1.621;Mu;DEV;;;1601;0
4;2022-08-30 00:33:11;2021-03-22;C.37;Lambda;DEV;;;1601;0
4;2022-08-30 00:33:11;2021-03-29;B.1.1.529;Omicron;;VOC;;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.1;Omicron;VOC;;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.2;Omicron;VOC;;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.2+S:L452X;Omicron;VOI;;BA.2;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.2.12.1;Omicron;VOI;VOC-LUM;BA.2+S:L452X;1727;0
4;2022-08-30 00:33:11;2021-03-29;BA.3;Omicron;VUM;;B.1.1.529;1727;0
4;2022-08-30 00:33:11;2021-03-29;B.1.617.2;Delta;DEV;;;1727;0
4;2022-08-30 00:33:11;2021-03-29;B.1.351;Beta;DEV;;;1727;41
4;2022-08-30 00:33:11;2021-03-29;P.1;Gamma;DEV;;;1727;15
4;2022-08-30 00:33:11;2021-03-29;B.1.1.7;Alpha;DEV;;;1727;1635
4;2022-08-30 00:33:11;2021-03-29;B.1.621;Mu;DEV;;;1727;0
4;2022-08-30 00:33:11;2021-03-29;C.37;Lambda;DEV;;;1727;0
4;2022-08-30 00:33:11;2021-04-05;B.1.1.529;Omicron;;VOC;;1532;0
4;2022-08-30 00:33:11;2021-04-05;BA.1;Omicron;VOC;;B.1.1.529;1532;0
4;2022-08-30 00:33:11;2021-04-05;BA.2;Omicron;VOC;;B.1.1.529;1532;0
4;2022-08-30 00:33:11;2021-04-05;BA.4;Omicron;VOC;VOC-LUM;B.1.1.529;1532;0
4;2022-08-30 00:33:11;2021-04-05;BA.5;Omicron;VOC;VOC-LUM;B.1.1.529;1532;0
4;2022-08-30 00:33:11;2021-04-05;BA.2.75;Omicron;VOI;VOC-LUM;BA.2;1532;0
4;2022-08-30 00:33:11;2021-04-05;BA.2+S:L452X;Omicron;VOI;;BA.2;1532;0
